annotator,item_id,text,triples,triples_surface_form,triples_label_form,feature_one,feature_two,feature_four,feature_five,feature_six,feature_seven
20,35,"Energie kosten , Herstellung  - Die Herstellung ist durch die Verteuerung der Rohstoffe deutlich teurer geworden.  - inflation.","[('yicYfEV8Di', [], '852016'), ('-nG1D22HJl', [], '852016'), ('yicYfEV8Di', [], '-nG1D22HJl')]","[('Energie', [], 'inflation'), ('Verteuerung', [], 'inflation'), ('Energie', [], 'Verteuerung')]","[('Hohe Energiepreise', [], 'Inflation'), ('Angebot (Rest)', [], 'Inflation'), ('Hohe Energiepreise', [], 'Angebot (Rest)')]","{'Angebot (Rest)', 'Hohe Energiepreise'}","{'Angebot (Rest)', 'Hohe Energiepreise'}","{('Hohe Energiepreise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Angebot (Rest)'), ('Angebot (Rest)', (), 'Inflation')}","{('Angebot', (), 'Inflation'), ('Angebot', (), 'Angebot')}","{('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}","{('Angebot', (), 'Inflation'), ('Angebot', (), 'Angebot')}"
20,41,Hoher preis - Ka - inflation.,"[('IGIG0RwwH2', [], '158851')]","[('Hoher preis -', [], 'inflation')]","[('Inflation', [], 'Inflation')]",{'Inflation'},*,"{('Inflation', (), 'Inflation')}","{('Inflation', (), 'Inflation')}","{('Inflation', (), 'Inflation')}","{('Inflation', (), 'Inflation')}"
20,45,Einwanderer  - Weiß nicht  - inflation.,"[('aUeFeXAwgE', [], '625856')]","[('Einwanderer', [], 'inflation')]","[('Migration', [], 'Inflation')]",{'Migration'},{'Migration'},"{('Migration', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Migration', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,46,"ukraine krieg, corona - weiß nicht - inflation.","[('358365', [], '313890'), ('876391', [], '313890')]","[('ukraine krieg', [], 'inflation'), ('corona', [], 'inflation')]","[('Krieg', [], 'Inflation'), ('Pandemie', [], 'Inflation')]","{'Krieg', 'Pandemie'}","{'Krieg', 'Pandemie'}","{('Krieg', (), 'Inflation'), ('Pandemie', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Krieg', (), 'Inflation'), ('Pandemie', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,49,"1: Steigende Energiepreise (bedingt durch die geopolitische Lage und den Ukraine-Konflikt), 2: Lieferkettenprobleme (Pandemie und Krisen haben zu Engpässen geführt) - Diese Faktoren verstärken sich gegenseitig und treiben die Inflation weiter an. - inflation.","[('308065', [], '981722'), ('869423', [], '308065'), ('351604', [], '308065'), ('800887', [], '539788'), ('VwX1hUWdol', [], '539788'), ('539788', [], '981722')]","[('Energiepreise', [], 'Inflation'), ('geopolitische Lage', [], 'Energiepreise'), ('Ukraine-Konflikt', [], 'Energiepreise'), ('Pandemie', [], 'Lieferkettenprobleme'), ('Krisen', [], 'Lieferkettenprobleme'), ('Lieferkettenprobleme', [], 'Inflation')]","[('Hohe Energiepreise', [], 'Inflation'), ('Geopolitik', [], 'Hohe Energiepreise'), ('Krieg', [], 'Hohe Energiepreise'), ('Pandemie', [], 'Lieferkettenprobleme'), ('Geopolitik', [], 'Lieferkettenprobleme'), ('Lieferkettenprobleme', [], 'Inflation')]","{'Hohe Energiepreise', 'Lieferkettenprobleme'}","{'Krieg', 'Pandemie', 'Lieferkettenprobleme', 'Geopolitik', 'Hohe Energiepreise'}","{('Pandemie', (), 'Lieferkettenprobleme'), ('Lieferkettenprobleme', (), 'Inflation'), ('Geopolitik', (), 'Hohe Energiepreise'), ('Krieg', (), 'Hohe Energiepreise'), ('Geopolitik', (), 'Lieferkettenprobleme'), ('Hohe Energiepreise', (), 'Inflation')}","{('Andere', (), 'Angebot'), ('Angebot', (), 'Inflation')}","{('Hohe Energiepreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')}","{('Andere', (), 'Angebot'), ('Angebot', (), 'Inflation')}"
20,53,"krieg, krisen - Daher habe ich mir darüber keine Gedanken gemacht und versuche einfach damit zu leben!!!!!!!!!, ??????, ??????, ??????, ????????????1!! - inflation.","[('748815', [], '373528'), ('aDp9zTL_BA', [], '373528')]","[('krieg', [], 'inflation'), ('krisen', [], 'inflation')]","[('Krieg', [], 'Inflation'), ('Geopolitik', [], 'Inflation')]","{'Geopolitik', 'Krieg'}","{'Geopolitik', 'Krieg'}","{('Geopolitik', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Geopolitik', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,54," - Hohe Energiekosten, steigende Mieten, Krieg - inflation.","[('109747', [], '991669'), ('934600', [], '991669'), ('410972', [], '991669')]","[('Hohe Energiekosten', [], 'inflation'), ('steigende Mieten', [], 'inflation'), ('Krieg', [], 'inflation')]","[('Hohe Energiepreise', [], 'Inflation'), ('Wohnraum', [], 'Inflation'), ('Krieg', [], 'Inflation')]","{'Wohnraum', 'Krieg', 'Hohe Energiepreise'}","{'Wohnraum', 'Krieg', 'Hohe Energiepreise'}","{('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Wohnraum', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}","{('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Wohnraum', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}"
20,57,"Hohe energiekosten, Höhere Gehälter , Höhere benzinkosten , Höhere Preise für Nahrungsmittel  - Starkes anwachsen  - inflation.","[('442350', [], '723836'), ('296096', [], '723836'), ('9c_CVi_pYo', [], '723836'), ('R3TM-YdWvC', [], '723836')]","[('Hohe energiekosten', [], 'inflation'), ('Höhere Gehälter', [], 'inflation'), ('benzinkosten', [], 'inflation'), ('Nahrungsmittel', [], 'inflation')]","[('Hohe Energiepreise', [], 'Inflation'), ('Löhne', [], 'Inflation'), ('Hohe Energiepreise', [], 'Inflation'), ('Lebensmittelpreise', [], 'Inflation')]","{'Löhne', 'Lebensmittelpreise', 'Hohe Energiepreise'}","{'Löhne', 'Lebensmittelpreise', 'Hohe Energiepreise'}","{('Hohe Energiepreise', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Lebensmittelpreise', (), 'Inflation')}","{('Angebot', (), 'Inflation')}","{('Hohe Energiepreise', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Lebensmittelpreise', (), 'Inflation')}","{('Angebot', (), 'Inflation')}"
20,60,"Ukraine Krieg, Lebensmittel - Weiß nicht - inflation.","[('534618', [], '265820'), ('hw_R-9dF3D', [], '265820')]","[('Ukraine Krieg', [], 'inflation'), ('Lebensmittel', [], 'inflation')]","[('Krieg', [], 'Inflation'), ('Lebensmittelpreise', [], 'Inflation')]","{'Lebensmittelpreise', 'Krieg'}","{'Lebensmittelpreise', 'Krieg'}","{('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}","{('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}"
20,63,"Ukraine-Krieg , Politische Fehlentscheidungen  - Sehr, da für die Zeit die beschlossenen Gesetze nicht unbedingt umgesetzt werden hätten müssen  - inflation.","[('592339', [], '415958'), ('255109', [], '415958')]","[('Ukraine-Krieg', [], 'inflation'), ('Politische Fehlentscheidungen', [], 'inflation')]","[('Krieg', [], 'Inflation'), ('Politisches Missmanagement', [], 'Inflation')]","{'Politisches Missmanagement', 'Krieg'}","{'Politisches Missmanagement', 'Krieg'}","{('Politisches Missmanagement', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Politisches Missmanagement', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,64,"Wirtschaft , Alles ist teurer geworden  - Alles passt zusammen, alle Kosten sind gestiegen  - inflation.","[('JNkw1Od0kG', [], '666032')]","[('alle Kosten', [], 'inflation')]","[('Inflation', [], 'Inflation')]",{'Inflation'},*,"{('Inflation', (), 'Inflation')}","{('Inflation', (), 'Inflation')}","{('Inflation', (), 'Inflation')}","{('Inflation', (), 'Inflation')}"
20,67,Politik - Überall helfen wollen und fürs eigene Land nichts haben - inflation.,"[('698907', [], '902971')]","[('Politik', [], 'inflation')]","[('Politisches Missmanagement', [], 'Inflation')]",{'Politisches Missmanagement'},{'Politisches Missmanagement'},"{('Politisches Missmanagement', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Politisches Missmanagement', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,69,"Krieg in der Ukraine, Lebensmittelknappheit, Naturkatastrophen - alles wird knapper, bzw. kann nicht geliefert werden - inflation.","[('436696', [], '585734'), ('906880', [], '585734'), ('729017', [], '585734'), ('ODc-DsR4xE', [], '585734'), ('b5eSf0T3vb', [], '585734')]","[('Krieg', [], 'inflation'), ('Lebensmittelknappheit', [], 'inflation'), ('Naturkatastrophen', [], 'inflation'), ('knapper', [], 'inflation'), ('geliefert', [], 'inflation')]","[('Krieg', [], 'Inflation'), ('Angebot (Rest)', [], 'Inflation'), ('Klimawandel', [], 'Inflation'), ('Angebot (Rest)', [], 'Inflation'), ('Lieferkettenprobleme', [], 'Inflation')]","{'Klimawandel', 'Lieferkettenprobleme', 'Krieg', 'Angebot (Rest)'}","{'Klimawandel', 'Krieg', 'Angebot (Rest)', 'Lieferkettenprobleme'}","{('Klimawandel', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}","{('Klimawandel', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}"
20,72,"Geringe verfügbarkeit an produkten - Hohe nachfrage und geringe verfügbarkeit, also werden die produkte immer teurer - inflation.","[('CXPa6mm_uB', [], 'Y28S0HTKAI'), ('Gx5XeLfjGK', [], 'Y28S0HTKAI'), ('uExbLlCi6H', [], 'Y28S0HTKAI')]","[('verfügbarkeit', [], 'inflation'), ('nachfrage', [], 'inflation'), ('verfügbarkeit', [], 'inflation')]","[('Angebot (Rest)', [], 'Inflation'), ('Nachfrage (Rest)', [], 'Inflation'), ('Angebot (Rest)', [], 'Inflation')]","{'Angebot (Rest)', 'Nachfrage (Rest)'}","{'Angebot (Rest)', 'Nachfrage (Rest)'}","{('Angebot (Rest)', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation')}","{('Angebot', (), 'Inflation'), ('Nachfrage', (), 'Inflation')}","{('Angebot (Rest)', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation')}","{('Angebot', (), 'Inflation'), ('Nachfrage', (), 'Inflation')}"
20,74,"Politik , Korruption  - Schlechten Politiker  - inflation.","[('109899', [], '970337'), ('y2GSM93VR3', [], '970337')]","[('Politik', [], 'inflation'), ('Schlechten', [], 'inflation')]","[('Politisches Missmanagement', [], 'Inflation'), ('Politisches Missmanagement', [], 'Inflation')]",{'Politisches Missmanagement'},{'Politisches Missmanagement'},"{('Politisches Missmanagement', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Politisches Missmanagement', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,76,"Energie, Nahrungsmittel - Ukraine-Krieg - inflation.","[('451451', [], '502677'), ('cMe9S_jrpl', [], '502677'), ('Wo3BPXPu93', [], '502677')]","[('Ukraine-Krieg', [], 'inflation'), ('Energie', [], 'inflation'), ('Nahrungsmittel', [], 'inflation')]","[('Krieg', [], 'Inflation'), ('Hohe Energiepreise', [], 'Inflation'), ('Lebensmittelpreise', [], 'Inflation')]","{'Lebensmittelpreise', 'Krieg', 'Hohe Energiepreise'}","{'Lebensmittelpreise', 'Krieg', 'Hohe Energiepreise'}","{('Hohe Energiepreise', (), 'Inflation'), ('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}","{('Hohe Energiepreise', (), 'Inflation'), ('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}"
20,90,"Mehrwertsteuer , Gehälter  - Ich weiß das nicht mach mir aber Gedanken darüber  - inflation.","[('893507', [], '592350'), ('921449', [], '592350')]","[('Mehrwertsteuer', [], 'inflation'), ('Gehälter', [], 'inflation')]","[('Steuererhöhungen', [], 'Inflation'), ('Löhne', [], 'Inflation')]","{'Löhne', 'Steuererhöhungen'}","{'Löhne', 'Steuererhöhungen'}","{('Löhne', (), 'Inflation'), ('Steuererhöhungen', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}","{('Löhne', (), 'Inflation'), ('Steuererhöhungen', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}"
20,91,"Usa wahlen, China sanktionen - Weis ich nicht - inflation.","[('455652', [], '494342')]","[('sanktionen', [], 'inflation')]","[('Geopolitik', [], 'Inflation')]",{'Geopolitik'},{'Geopolitik'},"{('Geopolitik', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Geopolitik', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,93,"Klima, Krieg - Erklärt sich von selber - inflation.","[('174138', [], '616385'), ('937723', [], '616385')]","[('Klima', [], 'inflation'), ('Krieg', [], 'inflation')]","[('Klimawandel', [], 'Inflation'), ('Krieg', [], 'Inflation')]","{'Klimawandel', 'Krieg'}","{'Klimawandel', 'Krieg'}","{('Klimawandel', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Klimawandel', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,95,"Die falsche Politik , Arbeitskraft wird teurer und weniger , Geldwert verlusst - 90% durch die Politik  - inflation.","[('815448', [], '191524'), ('685010', [], '191524'), ('7AUnhywVz2', [], '191524')]","[('Politik', [], 'inflation'), ('Arbeitskraft', [], 'inflation'), ('teurer', [], 'inflation')]","[('Politisches Missmanagement', [], 'Inflation'), ('Arbeitskräftemangel', [], 'Inflation'), ('Löhne', [], 'Inflation')]","{'Politisches Missmanagement', 'Löhne', 'Arbeitskräftemangel'}","{'Politisches Missmanagement', 'Löhne', 'Arbeitskräftemangel'}","{('Arbeitskräftemangel', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}","{('Arbeitskräftemangel', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}"
20,96,"Wirtschaft , Krieg  - Ich weis es nicht - inflation.","[('186282', [], '696910')]","[('Krieg', [], 'inflation')]","[('Krieg', [], 'Inflation')]",{'Krieg'},{'Krieg'},"{('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,97,"Corona , Krieg in der Ukraine , Trump  - Miteinander haben die nix zu tun. - inflation.","[('424127', [], '971299'), ('954640', [], '971299'), ('k2BDGdHDxx', [], '971299')]","[('Corona', [], 'inflation'), ('Krieg in der Ukraine', [], 'inflation'), ('Trump', [], 'inflation')]","[('Pandemie', [], 'Inflation'), ('Krieg', [], 'Inflation'), ('Geopolitik', [], 'Inflation')]","{'Geopolitik', 'Krieg', 'Pandemie'}","{'Geopolitik', 'Krieg', 'Pandemie'}","{('Geopolitik', (), 'Inflation'), ('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Geopolitik', (), 'Inflation'), ('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,101,"Wirtschaftskrise, Energie teuer - Durch den ukrainekrieg ist die Energie teurer geworden. Ausserdem liegt die Wirtschaft in Deutschland am Boden. - inflation.","[('edg2LNt9eV', [], 'Oz4Cqcpc1e'), ('Oz4Cqcpc1e', [], '624879'), ('7WV6MrF57I', [], '624879')]","[('ukrainekrieg', [], 'Energie'), ('Energie', [], 'inflation'), ('Wirtschaftskrise', [], 'inflation')]","[('Krieg', [], 'Hohe Energiepreise'), ('Hohe Energiepreise', [], 'Inflation'), ('Ökonomische Krise', [], 'Inflation')]","{'Hohe Energiepreise', 'Ökonomische Krise'}","{'Krieg', 'Ökonomische Krise', 'Hohe Energiepreise'}","{('Ökonomische Krise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Hohe Energiepreise')}","{('Andere', (), 'Inflation'), ('Andere', (), 'Angebot'), ('Angebot', (), 'Inflation')}","{('Ökonomische Krise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Andere', (), 'Angebot'), ('Angebot', (), 'Inflation')}"
20,114,"gestiegene Energiepreise, gestiegene Preise für Lebensmittel - steigende Energiepreise verteuern die Produktion und den Transport u.a. von Lebensmitteln und anderen Gütern; deren Preise steigen dann auch - inflation.","[('839016', [], 'b5hYo88XOh'), ('839016', [], 'loMG7aFWA3'), ('loMG7aFWA3', [], 'sX-doP-n1Y'), ('965572', [], '443914'), ('423985', [], '443914')]","[('Energiepreise', [], 'Produktion'), ('Energiepreise', [], 'Lebensmitteln'), ('Lebensmitteln', [], 'Preise'), ('Energiepreise', [], 'inflation'), ('Preise', [], 'inflation')]","[('Hohe Energiepreise', [], 'Angebot (Rest)'), ('Hohe Energiepreise', [], 'Hohe Energiepreise'), ('Hohe Energiepreise', [], 'Inflation'), ('Hohe Energiepreise', [], 'Inflation'), ('Lebensmittelpreise', [], 'Inflation')]","{'Lebensmittelpreise', 'Hohe Energiepreise'}","{'Angebot (Rest)', 'Lebensmittelpreise', 'Hohe Energiepreise'}","{('Hohe Energiepreise', (), 'Hohe Energiepreise'), ('Hohe Energiepreise', (), 'Inflation'), ('Lebensmittelpreise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Angebot (Rest)')}","{('Angebot', (), 'Inflation'), ('Angebot', (), 'Angebot')}","{('Hohe Energiepreise', (), 'Inflation'), ('Lebensmittelpreise', (), 'Inflation')}","{('Angebot', (), 'Inflation'), ('Angebot', (), 'Angebot')}"
