inner_id,text,annotator_20,annotator_21
262,"Krieg Ukraine, Künstlich durch Lebensmittelgroßhändler - sind nicht trennbar - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
267,Wenig teure Sachen kaufen  - Olaf Scholz  - inflation.,Gründe der Inflation,Keine sinnvolle Antwort
308,Ukrainekonflikt - Weniger Lieferungen. - inflation.,kausales Inflationsnarrativ,Gründe der Inflation
317,"falsche Entscheidungen der Regierung - Die Regierung hat die Deindustralisierung Deutschlands zum Ziel. Und die meisten Wähler geben denen ihre Stimme. Einstein: ""Das Weltall usw. "" - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
320,"Kriege, Politik, Wirtschaft - Die Kriege sind schuld - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
322,"Wirtschaftskrise , Erhöhte Strompreise - Dieses bekommen wir dann als Endverbraucher zu spüren und kaufen weniger bzw.geben weniger Geld aus. - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
339,"Die Energiekosten, Die Mietkosten, Die Personalkosten, Steuern, Krankenkasse - Da haben die Konzerne ihre Verdienste noch geschraubt und das wäre bei vielen nicht nötig. . - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
348,Teuer  - Preise steigen an - inflation.,Keine sinnvolle Antwort,Gründe der Inflation
350,"Corona, Einwanderung , Staatsausgaben , Zu viele schulden, Zu viel Hartz4  - Die Regierung ist schuld sonst Niemand  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
352,"Krieg in Ukraine , Politik - Somit erhöht sich der Preis, wenn wäre da ist! - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
353,"Ukraine-Krieg, Spätfolgen von Corona - sie hängen nicht wirklich zusammen. sie sind voneinander unabhängig - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
356,"Rent, Grocery, Biliing, Outdoor Activeties, Tax - This results in financial strain, especially for those with lower incomes. Inflation increases the cost of rent, food, and groceries, making everyday essentials more expensive. Higher taxes on goods and property also contribute to rising costs, affecting people's ability to afford basic needs. This results in financial strain, especially for those with lower incomes. - inflation.",Keine sinnvolle Antwort,kausales Inflationsnarrativ
357,"Ukraine-Krieg, Mitnahmeeffekt von Unternehmen - die Faktoren hängen vollständig zusammen - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
360,"Fehler bei politischen Entscheidungen, Zu hohe Steuern und Abgaben, Hersteller wollen jedes Jahr Gewinnzuwachs,was vollkommen unmöglich ist - Fehlpolitik, falsche Einstellung der Wirtschaft.Zu hohe Energiekosten,Abgaben,Steuern.Versicherungen explodieren.Zu viele Auflagen.Explodierendes Beamtentum und Pensionen - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
362,"Der Krieg in Ukraine, Der Steigende Preiser bei Gas - Dass hat auch zu steigende Preiser gekommen. Das hat auch zu steigende Preiser gekommen. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
379,"Ukraine Krieg, Steuern, Energiepreise - durch unsere Regierung gewollt - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
380,"Krieg mit der ukraine, Bauer machen Streit , Die Preise müssen angepasst werden  - Weil die die das liefern mehr Geld haben wollten  - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
382,"Falsche Politik , Regierung  - Sehr viel. Unsere Regierung hat ja so eine scheiß Politik gemacht. Betrüger sind das. Korrupt ohne Ende  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
388,"Rohstoffe werden teurer, Angebot & Nachfrage - Die Menschen kaufen Lebensmittel auch trotz Preiserhöhungen. Sie erlauben sich den Luxus und sparen lieber woanders. Außerdem betrifft dies auch Grundnahrungsmittel. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
391,"Einwanderung, Arbeitslosigkeit - Einwanderung und Arbeitslosigkeit sind die Hauptursachen für Inflation - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
392,"Energie, Rohstoffe - Hier hängt alles zusammen - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
397,"China, Geld - Nein - inflation.",Keine sinnvolle Antwort,Gründe der Inflation
405,"russia war, covid - They are not that related I think. They are individual topics. Covid was spread in each country and the war has mainly affected west I think. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
408,"Corona, Wjdcjdjrj, Kriege , Wcjcjfiri, Qksixjdej - Keine Ahnung  - inflation.",Keine sinnvolle Antwort,Gründe der Inflation
412,"Corona, Krieg - Sind zwei unterschiedliche Punkte - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
423,"Dienstleistungen , Pauschalreisen - Energietreiber als Treiber der Inflation - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
429,"Schrumpfende Wirtschaft - Wirtschaftswachstum sinkt, Kosten für Kredite steigen, Geld ist weniger Wert - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
432,"Ukrainekrieg, Energiepreise, Mitnahmeeffekte des Handels, Wachstumsflaute der deutschen Wirtschaft - <Die Faktoren bestehen unabhänig von einander. Sie finden aber gleichzeitig statt. Dadurch verstärken sie sich gegenseitig. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
448,"weiß nicht, greed - Leute wollen mehr Geld
 - inflation.",Keine sinnvolle Antwort,Gründe der Inflation
455,Strom Heizung  - weil die Kosten höher geworden sind - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
465,"Steigende Preise , Anpassung, Leider keine gute Preis-/Leistung  - Ich weiß nicht ,wie ich es beschreiben soll . - inflation.",Keine sinnvolle Antwort,Gründe der Inflation
474,"Krieg, Corona - Wir zahlen den Krieg für die Ukraiine - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
477,Die Inflation das Haus gemacht was soll man da großes sagen alles ist abgesprochen wie hoch sie wird kann niemals genau - Die Ursachen Inflation sind über hausgemacht alles ist abgesprochen zum Wohle der dreckspartei - inflation.,Keine sinnvolle Antwort,kausales Inflationsnarrativ
481,"Der Wert des Geldes ist gesunken. - Wenn der Wert des Geldes sinkt, kann man weniger kaufen und damit wird es teurer. - inflation.",Keine sinnvolle Antwort,kausales Inflationsnarrativ
483,geldmengen ausweitung - gestiegenes Geld drucken = gestiegene Inflation - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
491,"Corona krise, Ukraine krieg - Gar nicht  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
497,"Urkrainekrieg, Israelkrieg, Politische Streitereien in der Regierung , Auflösung der Regierung  - Wie lächerlich ist das denn, die Politik soll zusammen arbeiten, Entscheidungen für Deutschland und die Bürger treffen, sie nicht zanken und Lachnummer werden. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
501,"Krieg , Zutaten  - Es wurde weniger geerntet, Personal wird teurer,  - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
508,Migration  - Es gibt zuviel Migration in Deutschland  - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
513,"Klimawandel, Krieg - Sie beeinflussen die Preise und Kosten auf dem internationalen Markt. - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
526,"Krieg, Landwirtschaft  - Die Kosteninflation hängt mit der Geldmengeninflation und die schleichende Inflation zusammen  - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
532,Zu hohe Kosten  - Ich weiß nicht  - inflation.,Keine sinnvolle Antwort,Gründe der Inflation
533,"Weltwirtschaft, Arbeitslosenquote - Ich weiß es nicht, aber alles hängt irgendwie miteinander zusammen - inflation.",Keine sinnvolle Antwort,Gründe der Inflation
576,"Kosten , Verbrauch , Preis  - Alles passt  - inflation.",Keine sinnvolle Antwort,Gründe der Inflation
597,"Krieg , Politische Richtung  - Krieg bedingt hängt viel mit den Ressourcen ab - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
602,"2, 3, 5, 6 - Geldreserve 
reicht nicht - inflation.",Keine sinnvolle Antwort,kausales Inflationsnarrativ
614,"Energiekosten, Lebensmittelkosten - KRIEG IN DER Ukraine - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
620,"Produktionskosten gestiegen - Zu viele arbeitslose,  weniger produktiv - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
635,"Krieg, Verknappung Lebensmittel - . - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
642,"Steigender lohn, Steigender Stromkosten , Geldgier der Unternehmer , ..., ,... - Sie hängen zusammen - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
648,"Corona, Ukraine , Russland - Durch die Politik.Putin.Pandemi - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
659,"Inflation, Weiß nicht - Der Krieg zwischen Russland und Ukraine.
Migration - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
666,"Schulden, Weltwirtschaft  - Weltwirtschaft und Schulden  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
677,"teuerung , lebensmittel - alles wird teurer, also am ende auch die lebensmittel - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
684,Erhöhung der Investitionsrate - Eng miteinander verbunde - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
686,Krieg - Kriege und Krankheiten wirken sich weltweit auf die Inflation aus - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
690,"Staat , o Energie, Lebensmittel - Staatsbedingt - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
697,Krieg  - Krieg zwischen Ukraine und Russland  - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
700,Vertrauensw - Vertrauenswürdig. steigende Kosten - inflation.,Keine sinnvolle Antwort,Gründe der Inflation
706,"Krieg in der Ukraine, Wirtschaftskrise, niedriges Bruttosozialprodukt, politische Schwankungen, geringe Kaufkraft - politische und wirtschaftliche Lage sind eng miteinander verbunden - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
721,"Zu viel Geld wird gedruckt, Herstellerkosten gestiegen, Transportierten gestiegen - Es ist ein Zusammenspiel mehrerer faktoren - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
724,"Wirtschaftliche , Umwelt  - Was machst denn heute noch schönes mit deiner Familie oder hast dich noch gar nichts getan für die Schule und du bist auch nicht in die Arbeit  - inflation.",Keine sinnvolle Antwort,Gründe der Inflation
731,"Wirtschaft, Ungeplante Ausgaben - Ich denke dass die Inflationsrate in dem Zusammenhang gleichwertig steigt. Da sie davon abhängig istt. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
734,Es wurde mehr teures gekauft - Es wurden mehr online Käufe getätigt. Dadurch wurde vieles im Laden teurer  - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
741,"Kriege , Inflation , Politische Entscheidungen , Corona  - Kriege, weltwirtschaftliche Ursachen, politische Fehlentscheidungen, fehlenden Investitionen - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
750,"Einwohnerzahl gestiegen, Preise wurden teurer verdienst blieb gleich , Zu hohe Steuern  - Alle diese Antworten hängen miteinander zusammen.  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
766,"Nach Korona, Krieg Russland - Alle Lände eigentlich haben diese Problem, also ich glaube wird die Inflation mehr sein zu mendinst in den nächsten Jahre - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
767,"Preise, Verdienst , Kosten  - Je höher die Preise desto höher ist Inflation bei gleich gebliebenen Lohnen  - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
770,"Energie erhöht , Produktionskosten , Inflation  - Weil die Kosten gestiegen sind  - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
773,"Krieg in der Ukraine , Corona , Schlechte wirtschaftliche Bedingungen  - Die Faktoren sind miteinander vernetzt. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
777,"Kriege, Hohe Energiepreise, Hohe Lebensmittelpreise, Hohes Zinsniveau - Sie sind insgesamt kummulativ zu sehen. Es betrifft die meisten Haushalte. Als ""kleiner"" Mann hat man wenig bis gar keinen Einfluss. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
778,"Gier nach Geld, Evtl erhöhte Stromkosten  - Ein Unternehmen macht zb 1 Millionen Gewinn im Jahr. 
Im darauffolgenden Jahr verdoppelt sich dieser Gewinn. 
Wenn ein Unternehmen so viel Gewinn machen kann, ist es unnötig und Geldgierig.  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
779,"Kriegen, Ukraine, USA, russia, Scholz - Die sind alle zusamen geschaft und desergen hat alles explodiert nach plan - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
780,Weniger regionales - Ich denke dass das sehr zusammenhängt  - inflation.,Keine sinnvolle Antwort,Gründe der Inflation
787,"lebensmittel, energie, belatung krieg in der uraine - krieg rostoff knappheit - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
793,"Preiserhöhungen , Gestiegene Kosten  - Da die Gehälter nicht stetig steigen bzw. angepasst werden, kommt es zu einer Inflation . - inflation.",Keine sinnvolle Antwort,kausales Inflationsnarrativ
799,Krieg - Der kriegt macht die Inflation höher  - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
800,"Corona , Ukraine-Krieg , Hohe Kosten für die Unternehmen  - Ich glaube, der größte Punkt sind die zu hohen Energiekosten.  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
802,Anstieg der Inflation  - Weiß nicht  - inflation.,Keine sinnvolle Antwort,kausales Inflationsnarrativ
808,schwache Wirtschaft - hohe Energiekosten - inflation.,kausales Inflationsnarrativ,Gründe der Inflation
810,"Teuere Energie, Teuere Nahrungsmittel, Steigende Preise  - Eng miteinander verbunden  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
811,supply-side factors - Medium-term inflation expectations over a 5-year horizon have also increased significantly (see figure ). - inflation.,Gründe der Inflation,Keine sinnvolle Antwort
813,"Global factor , Wage control - Additional geopolitical mention and trade dispute insanely contributed to uncertainty and higher cost. - inflation.",kausales Inflationsnarrativ,Keine sinnvolle Antwort
818,"hohe Energiekosten wegen ""Ukraine usw."", verkorkste Wirtschaftspolitik, Klimawahn und dessen negative Auswirkungen - Und Jetzt? Denk ich an Deutschland in der Nacht, so bin ich um den Schlaf gebracht! - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
827,"Krieg in der Ukraine, Gas - Gas ist teurer geworden  - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
829,"Geld , Menschen  - Das Geld natürlich was sonst noch der Preis usw die kostet zu zahlen ist  - inflation.",Keine sinnvolle Antwort,kausales Inflationsnarrativ
830,"Krieg in der Ukraine , Höhere Löhne, Corona  - Produktionskosten, Lieferanten  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
831,"Krieg - We na i i get Versorgung der Energie Öl, Benzin Getreide  - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
845,"Arbeitsmarkt , Zinsen , Strom  - Alles im allem führt zur Inflation  - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
846,"Corona Pandemie, Ukraine Krieg, Aktuelle Regierung - Politik muss auf Krisen reagieren - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
860,"Corona, Krieg, Einwanderung , Generationswechsel - Durch den Wandel der Gesellschaft sind neue Probleme der Anpassung hinzugekommen, wo das Land nicht schafft hinterher zu kommen. - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
871,"Lieferketten-Schwierigkeiten, Klima, Heizkosten - privater Konsum und Wirtschaft hängen zusammen - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
875,"Höher Ausgaben für innergir, Einreise von Flüchtlingen, Grundnahrung - Keirg Unterstützung Einwanderer kaufen von energie - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
876,"Rohstoffpreise, Strompreise - Die Herstellung von Produkten kosten mehr.  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
883,"Steigende Energiekosten, Höhere Produktionskosten, Finanzielle Ausfälle während Corona Pandemie in der Wirtschaft, Höhere Steuerbelastungen durch Misswirtschaft in der Politik, Versorgungsengpässe durch internationale Krisen und Kriege für die produzierende Wirtschaft  - Weniger Geld zur Verfügung Weniger wird ausgegeben, Aufträge und Anschaffungen werden zurückgehalten, Umsätze sinken. . - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
890,"Folgen der Corona-Pandemie, Krieg Russlands gegen Ukraine , Klimawandel/Naturkatastrophen , Neusortierung internationaler Produktionsstandorte und Absatzmärkte , Flucht und Migration  - Sie sind miteinander verwoben, oft als Ursache/Folge, teilweise als Begleiterscheinung. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
899,"Regierung , Kriege  - Alles Geld wurd ins Ausland gepumpt,da bleibt für Deutsche nix... Also müssen mehr Einnahmen her. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
911,"3,4, 8 - Inflation ist gestiegen  - inflation.",Keine sinnvolle Antwort,Gründe der Inflation
915,"gestiegene Herstellungskosten, Personalmangel - es ist schwieriger geworden Dinge herzustellen - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
919,Krieg - Energie ist teuer geworden  - inflation.,kausales Inflationsnarrativ,Gründe der Inflation
923,"Ölpreiserhöhungen, Kriegstreiberei, Politische Hindernisse - Weiter will jeder der Größte sein, anstatt einzusehen das wir alle untergehen werden. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
926,"3,7, 8,8 - Alles wird teurer Gehälter bleiben gleich - inflation.",Keine sinnvolle Antwort,Gründe der Inflation
927,"Krieg, Umweltprobleme, Verschuldung des Staates, Mehr Menschen in Deutschland , Sonstiges - Alles hängt irgendwie zusammen.   - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
929,"Krieg in der Ukraine, steigende Energiepriese - kein günstiger Gas mehr - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
949,4 - Ich finde die Regierung baut Mist momentan. Vieles hätte geändert werden können. Ich denke wenn die neue Regierung kommt wird alles besser - inflation.,kausales Inflationsnarrativ,Gründe der Inflation
950,"Gier der herstellenden Industrie, man witterte die Möglichkeit, sich am Volk zu bereichern denn essen muss z.B. jeder - Da hängt gar nichts zusammen. Ich habe nur einen Faktor genannt und zwar Gier. Sowohl auf Seiten derjenigen, die Güter produzieren als auch derjenigen, welche die Güter dann verkaufen. . - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
952,gas aus russland - putin hat deutschland an der leine - inflation.,kausales Inflationsnarrativ,Gründe der Inflation
954,"Ukraine Krieg , Weltweite wirtschaftliche Unruhen  - Eine globale Krise der Wirtschaft. Kriege sind aktuell unser größter Problem. Die Kaufkraft geht zurück - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
956,Ukraine Krieg  - Sehrstark alle waren kamen auf einmal aus der Ukraine - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
959,"Nachfolgen Corona, Ausweitung des Krieges zwischen der RF und der  Ukraine - zunächst Warenknappheit und dann Rohstoffknappheit - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
964,"Krieg Russland gegen Ukraine , Krieg Israel, Pandemie nachfolgen  - Die Pandemie hat kein Zusammenhang mit den Kriegen. - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
967,"Rezession , Zu wenig Fachkräfte  - Sehr sogar - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
985,"1, 2 - Der Wert des Geldes sinkt, Inflationsate steigt, Lebenserwartungskosten steigen ebenfalls. 
Solange die Wirtschaft sich nicht fängt wird der Wert des Geldes immer mehr an Wert verlieren  - inflation.",Keine sinnvolle Antwort,kausales Inflationsnarrativ
987,Krieg - Alle preise steigen enorm - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
989,Energie kosten - Energie kosten - inflation.,kausales Inflationsnarrativ,Gründe der Inflation
990,"erhöhung der geldmenge, steigende löhne, nachfrage ist größer als das angebot, steigende preise von gütern - sehen sie sich die vorherigen antworten an - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
1009,"Gas, Strom, Benzin - Krieg in der Ukraine  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
