annotator,item_id,text,feature_six,agreed_feature_six
20,6,"Krieg, Wahlen, Amerika, China - Durch mehr Export, steigende Löhne, beeinträchtigtes Wachstum und Konsum sind alles Faktoren, die mit der Inflation in Verbindung stehen  - inflation.","{('Ökonomische Krise', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Geopolitik', (), 'Inflation')}",
21,6,"Krieg, Wahlen, Amerika, China - Durch mehr Export, steigende Löhne, beeinträchtigtes Wachstum und Konsum sind alles Faktoren, die mit der Inflation in Verbindung stehen  - inflation.","{('Ökonomische Krise', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Geopolitik', (), 'Inflation')}",
20,7,"Ukraine Krieg, Getreidemangel, Flüchtlingswellen, Klimawandel, Corona Nachwirkungen - Der Preis also steigt die Nachfrage. Nachfrage Z.B. die Ukraine ist die Getreidekammers Europa der Krieg verhinderte die Ausfuhr des Getreides und zerstörte es teilweise so wurde es an den Märkten teurer dazu kommt die Klimakatastrophe, die das Wetter beeinflusst und somit das Wachstum der Pflanzen beeinträchtigt also eine Wertminderung! Der Mangel an Essen und der Krieg in Ländern vorher flüchten die Leute sobald in eine Richtung sie müssen versorgt werden wenn aber alles knapp wird und eine größere Zahl an Menschen an einem Ort sind geraten die Preise aus dem Fugen sich steigen die selten etwas wird umso kräftiger ist der Preis also steigt die Nachfrage. - inflation.","{('Klimawandel', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')}",
21,7,"Ukraine Krieg, Getreidemangel, Flüchtlingswellen, Klimawandel, Corona Nachwirkungen - Der Preis also steigt die Nachfrage. Nachfrage Z.B. die Ukraine ist die Getreidekammers Europa der Krieg verhinderte die Ausfuhr des Getreides und zerstörte es teilweise so wurde es an den Märkten teurer dazu kommt die Klimakatastrophe, die das Wetter beeinflusst und somit das Wachstum der Pflanzen beeinträchtigt also eine Wertminderung! Der Mangel an Essen und der Krieg in Ländern vorher flüchten die Leute sobald in eine Richtung sie müssen versorgt werden wenn aber alles knapp wird und eine größere Zahl an Menschen an einem Ort sind geraten die Preise aus dem Fugen sich steigen die selten etwas wird umso kräftiger ist der Preis also steigt die Nachfrage. - inflation.","{('Migration', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Pandemie', (), 'Inflation')}",
20,8,"Politik, Rohstoffpreise - Die einen sind von den Politikern beeinflussbar, die anderen hängen mehr vom Ausland ab. - inflation.","{('Angebot (Rest)', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')}",
21,8,"Politik, Rohstoffpreise - Die einen sind von den Politikern beeinflussbar, die anderen hängen mehr vom Ausland ab. - inflation.","{('Inflation', (), 'Inflation'), ('Geopolitik', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')}",
20,9,Krieg  - Durch den Krieg wird alles teurer  - inflation.,"{('Krieg', (), 'Inflation')}",
21,9,Krieg  - Durch den Krieg wird alles teurer  - inflation.,"{('Krieg', (), 'Inflation')}",
20,10,"Angebot Nachfrage , Kein geld - Viel bedarf kein personal - inflation.","{('Nachfrage (Rest)', (), 'Inflation'), ('Arbeitskräftemangel', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
21,10,"Angebot Nachfrage , Kein geld - Viel bedarf kein personal - inflation.","{('Angebot (Rest)', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Arbeitskräftemangel', (), 'Inflation')}",
20,11,Krieg Ukraine  - Export von Erdgas und Öl wurden zu Lieferengpässen  - inflation.,"{('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Inflation')}",
21,11,Krieg Ukraine  - Export von Erdgas und Öl wurden zu Lieferengpässen  - inflation.,"{('Lieferkettenprobleme', (), 'Inflation')}",
20,12,"Lieferkettenprobleme , Erhöhung der Preise, Krieg, Pandemie im Jahr 2020, Energiepreise werden teuerer  - Hohe Energiepreise und Lieferkettenprobleme verstärkten die Angebotsengpässe, während eine erhöhte Nachfrage, ausgelöst durch die Folgen der Pandemie und monetäre Maßnahmen, die Preise weiter nach oben trieb. - inflation.","{('Angebot (Rest)', (), 'Inflation'), ('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation'), ('Geldpolitik', (), 'Inflation')}",
21,12,"Lieferkettenprobleme , Erhöhung der Preise, Krieg, Pandemie im Jahr 2020, Energiepreise werden teuerer  - Hohe Energiepreise und Lieferkettenprobleme verstärkten die Angebotsengpässe, während eine erhöhte Nachfrage, ausgelöst durch die Folgen der Pandemie und monetäre Maßnahmen, die Preise weiter nach oben trieb. - inflation.","{('Krieg', (), 'Inflation'), ('Inflation', (), 'Inflation'), ('Aufgestaute Nachfrage', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
20,13,"Krieg, Energiepreise sind stark gestiegen  - Durch den Krieg Rußland gegen die Ukraine und die Sanktionen gegen Russland sind die Energiepreise stark gestiegen  - inflation.","{('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Geopolitik', (), 'Inflation')}",
21,13,"Krieg, Energiepreise sind stark gestiegen  - Durch den Krieg Rußland gegen die Ukraine und die Sanktionen gegen Russland sind die Energiepreise stark gestiegen  - inflation.","{('Hohe Energiepreise', (), 'Inflation')}",
20,14,"Krieg , Benzin , Buttet, Milch - Der Krieg macht das die Benzin Preise steigen und wir keine Produkte aus dem Ausland bekommen.die Bauern haben Probleme mit dem Vieh und das lässt die kosten steigen - inflation.","{('Lebensmittelpreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')}",
21,14,"Krieg , Benzin , Buttet, Milch - Der Krieg macht das die Benzin Preise steigen und wir keine Produkte aus dem Ausland bekommen.die Bauern haben Probleme mit dem Vieh und das lässt die kosten steigen - inflation.","{('Lebensmittelpreise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')}",
20,15,"Höhere Energiepreise , Auswirkungen der Coronazeit aufgrund stockender Warenketten, Spritpreise, Veränderte Warenwegen aufgrund von Kriegen und Piratenüberfällen - Mangel an Material (aufgrund der Coronafolgen) lässt ebenfalls bei gleichbleibender Nachfrage ein geringeres Angebotseite vermuten, welches zum Anstieg der Preise führt. - inflation.","{('Angebot (Rest)', (), 'Inflation'), ('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')}",
21,15,"Höhere Energiepreise , Auswirkungen der Coronazeit aufgrund stockender Warenketten, Spritpreise, Veränderte Warenwegen aufgrund von Kriegen und Piratenüberfällen - Mangel an Material (aufgrund der Coronafolgen) lässt ebenfalls bei gleichbleibender Nachfrage ein geringeres Angebotseite vermuten, welches zum Anstieg der Preise führt. - inflation.","{('Nachfrage (Rest)', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
20,16,"Krieg, Geringere Verfügbarkeit von Rohstoffen - Die Faktoren hängen sehr stark miteinander zusammen. Durch den Krieg kam es zu Lieferengpässen und Materialknappheit.  - inflation.","{('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
21,16,"Krieg, Geringere Verfügbarkeit von Rohstoffen - Die Faktoren hängen sehr stark miteinander zusammen. Durch den Krieg kam es zu Lieferengpässen und Materialknappheit.  - inflation.","{('Lieferkettenprobleme', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
20,17,"die umwelt, die kriege, das leben - die neben kosten und die mieten steigrn - inflation.","{('Krieg', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Wohnraum', (), 'Inflation')}",
21,17,"die umwelt, die kriege, das leben - die neben kosten und die mieten steigrn - inflation.","{('Krieg', (), 'Inflation'), ('Inflation', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Wohnraum', (), 'Inflation')}",
20,18,"Corona, der Ukraine Krieg - Kostensteigerungen aufgrund Mangel an Strom - inflation.","{('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation')}",
21,18,"Corona, der Ukraine Krieg - Kostensteigerungen aufgrund Mangel an Strom - inflation.","{('Pandemie', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
20,19,"Krieg in der Ukraine, Corona, Großkonzerne - Am Ende zahlen die normalen Bürger. Ich denke die Regierung hätte viel besser gegen die hohe Inflation vorgehen. Unsere Energie hätte nicht nur von Russland importiert werden sollen. Außerdem haben viele Konzerne Gewinne mitgenommen. Am Ende zahlen die normalen Bürger. - inflation.","{('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Preistreiberei', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')}",
21,19,"Krieg in der Ukraine, Corona, Großkonzerne - Am Ende zahlen die normalen Bürger. Ich denke die Regierung hätte viel besser gegen die hohe Inflation vorgehen. Unsere Energie hätte nicht nur von Russland importiert werden sollen. Außerdem haben viele Konzerne Gewinne mitgenommen. Am Ende zahlen die normalen Bürger. - inflation.","{('Preistreiberei', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation'), ('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')}",
20,20,"Krieg, Regierung, Erhöhung der geldmenge, Zunehmende verbraucherpreise, Weniger rohstoffe - Weiß nicht genau - inflation.","{('Politisches Missmanagement', (), 'Inflation'), ('Geldpolitik', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
21,20,"Krieg, Regierung, Erhöhung der geldmenge, Zunehmende verbraucherpreise, Weniger rohstoffe - Weiß nicht genau - inflation.","{('Politisches Missmanagement', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Inflation', (), 'Inflation'), ('Geldpolitik', (), 'Inflation')}",
20,22,"steigende Preise, Nachfrageflaute - sinkende Wirtschaftlichkeit und steigende Rohstoffpreise erhöhen die Inflation - inflation.","{('Ökonomische Krise', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
21,22,"steigende Preise, Nachfrageflaute - sinkende Wirtschaftlichkeit und steigende Rohstoffpreise erhöhen die Inflation - inflation.","{('Ökonomische Krise', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Inflation', (), 'Inflation')}",
20,23,"Gaspreise , Krieg - Der Krieg führt dazu, dass die Gaspreise gestiegen sind. Alles das führt zu steigenden Preisen, was die Inflation steigen lässt. - inflation.","{('Krieg', (), 'Inflation'), ('Inflation', (), 'Inflation')}",
21,23,"Gaspreise , Krieg - Der Krieg führt dazu, dass die Gaspreise gestiegen sind. Alles das führt zu steigenden Preisen, was die Inflation steigen lässt. - inflation.","{('Hohe Energiepreise', (), 'Inflation'), ('Inflation', (), 'Inflation')}",
20,24,Energiekosten - kA - inflation.,"{('Hohe Energiepreise', (), 'Inflation')}",
21,24,Energiekosten - kA - inflation.,"{('Hohe Energiepreise', (), 'Inflation')}",
20,25,"Auslandsproduktion, / - Produkte werden mehr im Ausland produziert  - inflation.","{('Angebot (Rest)', (), 'Inflation')}",
21,25,"Auslandsproduktion, / - Produkte werden mehr im Ausland produziert  - inflation.","{('Angebot (Rest)', (), 'Inflation')}",
20,26,"Mehr Krisenherde in der Welt, Mehr Autokratien - Die Spannungen zwischen den politischen Kulturen nimmt zu und somit gibt es mehr Konflikte - inflation.","{('Geopolitik', (), 'Inflation')}",
21,26,"Mehr Krisenherde in der Welt, Mehr Autokratien - Die Spannungen zwischen den politischen Kulturen nimmt zu und somit gibt es mehr Konflikte - inflation.","{('Geopolitik', (), 'Inflation')}",
20,27,"Vieles arbeitslose, Corona Pandemie  - Gutes - inflation.","{('Pandemie', (), 'Inflation')}",
21,27,"Vieles arbeitslose, Corona Pandemie  - Gutes - inflation.","{('Pandemie', (), 'Inflation'), ('Arbeitskräftemangel', (), 'Inflation')}",
20,28,"Ukrainekrieg, Energiekriese - Rußland - inflation.","{('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Geopolitik', (), 'Inflation')}",
21,28,"Ukrainekrieg, Energiekriese - Rußland - inflation.","{('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')}",
20,29,"Energiepreise, Nahrungsmittelpreise, Lieferkettenprobleme (Covid), Fiskal- und Geldpolitik, Inflationserwartungen - Die Preise weiter nach oben. Diese Faktoren bildeten ein komplexes Netzwerk von Ursachen und Wirkung. Die Energiepreise stiegen aufgrund geopolitischer Spannungen und hatten direkte Auswirkungen auf die Produktionskosten vieler Güter und Dienstleistungen. Beide Faktoren zusammen erhöhten die Produktions- und Transportkosten, was zu steigenden Endverbraucherpreisen führte. Nahrungsmittelpreise und Energiepreise Die erhöhten Energiepreise wirkten sich auch direkt auf die Landwirtschaft aus, da die Kosten für Düngemittel, Bewässerung und Transport stiegen. Dies führte zu höheren Nahrungsmittelpreisen. Extreme Wetterbedingungen, die teilweise durch den Klimawandel verursacht wurden, verstärkten diesen Effekt, da sie zu Ernteausfällen und damit zu einer geringeren Verfügbarkeit führten. Fiskal- und Geldpolitik und Inflationserwartungen - Die expansive Fiskal- und Geldpolitik aufgrund der oben genannten Faktoren, was die Preise weiter in die Höhe trieb. Hohe Inflationserwartungen verstärkten diesen Effekt, da Unternehmen und Verbraucher ihre - inflation.","{('Staatsausgaben', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Inflationserwartungen', (), 'Inflation'), ('Lebensmittelpreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation'), ('Geldpolitik', (), 'Inflation')}",
21,29,"Energiepreise, Nahrungsmittelpreise, Lieferkettenprobleme (Covid), Fiskal- und Geldpolitik, Inflationserwartungen - Die Preise weiter nach oben. Diese Faktoren bildeten ein komplexes Netzwerk von Ursachen und Wirkung. Die Energiepreise stiegen aufgrund geopolitischer Spannungen und hatten direkte Auswirkungen auf die Produktionskosten vieler Güter und Dienstleistungen. Beide Faktoren zusammen erhöhten die Produktions- und Transportkosten, was zu steigenden Endverbraucherpreisen führte. Nahrungsmittelpreise und Energiepreise Die erhöhten Energiepreise wirkten sich auch direkt auf die Landwirtschaft aus, da die Kosten für Düngemittel, Bewässerung und Transport stiegen. Dies führte zu höheren Nahrungsmittelpreisen. Extreme Wetterbedingungen, die teilweise durch den Klimawandel verursacht wurden, verstärkten diesen Effekt, da sie zu Ernteausfällen und damit zu einer geringeren Verfügbarkeit führten. Fiskal- und Geldpolitik und Inflationserwartungen - Die expansive Fiskal- und Geldpolitik aufgrund der oben genannten Faktoren, was die Preise weiter in die Höhe trieb. Hohe Inflationserwartungen verstärkten diesen Effekt, da Unternehmen und Verbraucher ihre - inflation.","{('Klimawandel', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Inflationserwartungen', (), 'Inflation'), ('Inflation', (), 'Inflation'), ('Lebensmittelpreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation'), ('Geldpolitik', (), 'Inflation')}",
20,30,"Ukraine Krieg, Gas Stop aus Russland , EU Vorschriften , Co2 Straf Steuern - Das weiß ich nicht habe ich mich nicht mit beschäftigt  - inflation.","{('Steuererhöhungen', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')}",
21,30,"Ukraine Krieg, Gas Stop aus Russland , EU Vorschriften , Co2 Straf Steuern - Das weiß ich nicht habe ich mich nicht mit beschäftigt  - inflation.","{('Steuererhöhungen', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')}",
20,31,"Wirtschaftlichelage , Höhere Lebensmittelkonzern , Lieferschwierigkeiten  - Sie sind von einander abhängig oder abgewiesen  - inflation.","{('Ökonomische Krise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')}",
21,31,"Wirtschaftlichelage , Höhere Lebensmittelkonzern , Lieferschwierigkeiten  - Sie sind von einander abhängig oder abgewiesen  - inflation.","{('Ökonomische Krise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')}",
20,32,"Ukraine Krieg , Asyl - Sehr stark  - inflation.","{('Migration', (), 'Inflation'), ('Krieg', (), 'Inflation')}",
21,32,"Ukraine Krieg , Asyl - Sehr stark  - inflation.","{('Migration', (), 'Inflation'), ('Krieg', (), 'Inflation')}",
20,33,"Krie ukraine , Energiekosten - Durch den Krieg, boykottieren wir russland - inflation.","{('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Geopolitik', (), 'Inflation')}",
21,33,"Krie ukraine , Energiekosten - Durch den Krieg, boykottieren wir russland - inflation.","{('Hohe Energiepreise', (), 'Inflation'), ('Geopolitik', (), 'Inflation')}",
20,34,Wirtschaft  - Weniger Aufträge weniger Umsatz weniger Gewinn weniger Arbeit  - inflation.,"{('Nachfrage (Rest)', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
21,34,Wirtschaft  - Weniger Aufträge weniger Umsatz weniger Gewinn weniger Arbeit  - inflation.,"{('Ökonomische Krise', (), 'Inflation')}",
20,35,"Energie kosten , Herstellung  - Die Herstellung ist durch die Verteuerung der Rohstoffe deutlich teurer geworden.  - inflation.","{('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
21,35,"Energie kosten , Herstellung  - Die Herstellung ist durch die Verteuerung der Rohstoffe deutlich teurer geworden.  - inflation.","{('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
20,37,"Flüchtlinge , Corona, Arbeitsmarkt  - Die von mir vermuteten Gründe für die Hohe Inflationsrate hangt zeitlich zusammen, nicht unbedingt causal. - inflation.","{('Pandemie', (), 'Inflation'), ('Migration', (), 'Inflation'), ('Arbeitskräftemangel', (), 'Inflation')}",
21,37,"Flüchtlinge , Corona, Arbeitsmarkt  - Die von mir vermuteten Gründe für die Hohe Inflationsrate hangt zeitlich zusammen, nicht unbedingt causal. - inflation.","{('Pandemie', (), 'Inflation'), ('Migration', (), 'Inflation')}",
20,38,"Russischer Angriffskrieg , Steigende Energiekosten, Wenig gestiegene Lohnquote - Der gesamte Gasvorrat aus Russland stammte. Die Lohnkurve geht schon seit längerem von der Inflationsrate auseinander, sodass es schwerer wird, sich zu versorgen. Der russische Angriffskrieg sorgte für Unsicherheiten in Europa und durch das Gas aus Russland und den Sanktionen der Natoländer kam es explizit in Deutschland zu stark steigenden Kosten, da der gesamte Gasvorrat aus Russland stammte. - inflation.","{('Nachfrage (Rest)', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
21,38,"Russischer Angriffskrieg , Steigende Energiekosten, Wenig gestiegene Lohnquote - Der gesamte Gasvorrat aus Russland stammte. Die Lohnkurve geht schon seit längerem von der Inflationsrate auseinander, sodass es schwerer wird, sich zu versorgen. Der russische Angriffskrieg sorgte für Unsicherheiten in Europa und durch das Gas aus Russland und den Sanktionen der Natoländer kam es explizit in Deutschland zu stark steigenden Kosten, da der gesamte Gasvorrat aus Russland stammte. - inflation.","{('Löhne', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
20,39,Corona - Die Kosten sind gestiegen  - inflation.,"{('Pandemie', (), 'Inflation')}",
21,39,Corona - Die Kosten sind gestiegen  - inflation.,"{('Angebot (Rest)', (), 'Inflation')}",
20,41,Hoher preis - Ka - inflation.,"{('Inflation', (), 'Inflation')}",
21,41,Hoher preis - Ka - inflation.,"{('Inflation', (), 'Inflation')}",
20,42,"Krieg in der Ukraine , Russland, Schlechte Wirtschaftliche Entwicklung  - Durch den Krieg in der Ukraine und der Bestrafung an Russland hat sich die Wirtschaft in Deutschland verschlechtert  - inflation.","{('Krieg', (), 'Inflation'), ('Geopolitik', (), 'Inflation')}",
21,42,"Krieg in der Ukraine , Russland, Schlechte Wirtschaftliche Entwicklung  - Durch den Krieg in der Ukraine und der Bestrafung an Russland hat sich die Wirtschaft in Deutschland verschlechtert  - inflation.","{('Ökonomische Krise', (), 'Inflation')}",
20,43,"Lebensmittel , Energiekosten, Es ist alles teurer geworden  - Es wurde zuviel Geld ausgegeben und irgendwie muss es ja wieder zurückgeholt werden ..also wird alles teurer gemacht das ist meine meinung 
 - inflation.","{('Lebensmittelpreise', (), 'Inflation'), ('Inflation', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation')}",
21,43,"Lebensmittel , Energiekosten, Es ist alles teurer geworden  - Es wurde zuviel Geld ausgegeben und irgendwie muss es ja wieder zurückgeholt werden ..also wird alles teurer gemacht das ist meine meinung 
 - inflation.","{('Lebensmittelpreise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation'), ('Inflation', (), 'Inflation')}",
20,44,"Ukraine krieg, Energie kosten Steigerung , Höhere kosten der Produkte , Höhere kosten der Dienstleistung , Verteuerung der Rohstoffe  - Durch den anhaltenden Krieg in der Ukraine werden einige Rohstoffe teuer zu beschaffen sein. Das Gas aus Russland wird über Umwege nach Deutschland beschafft und dadurch steigen die Kosten. Die USA liefern sehr teures Gas über den Seeweg. - inflation.","{('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
21,44,"Ukraine krieg, Energie kosten Steigerung , Höhere kosten der Produkte , Höhere kosten der Dienstleistung , Verteuerung der Rohstoffe  - Durch den anhaltenden Krieg in der Ukraine werden einige Rohstoffe teuer zu beschaffen sein. Das Gas aus Russland wird über Umwege nach Deutschland beschafft und dadurch steigen die Kosten. Die USA liefern sehr teures Gas über den Seeweg. - inflation.","{('Angebot (Rest)', (), 'Inflation')}",
20,45,Einwanderer  - Weiß nicht  - inflation.,"{('Migration', (), 'Inflation')}",
21,45,Einwanderer  - Weiß nicht  - inflation.,"{('Migration', (), 'Inflation')}",
20,46,"ukraine krieg, corona - weiß nicht - inflation.","{('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation')}",
21,46,"ukraine krieg, corona - weiß nicht - inflation.","{('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation')}",
20,47,"Ukraine Krieg, Wirtschaftskrise  - Der Krieg in der Ukraine belastet die gesamte Weltwirtschaft. Sehr viele Waren verteuern sich immer weiter. Das hat mit den gestiegenen Energie- und Rohstoff Preisen weltweit zu tun. - inflation.","{('Ökonomische Krise', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
21,47,"Ukraine Krieg, Wirtschaftskrise  - Der Krieg in der Ukraine belastet die gesamte Weltwirtschaft. Sehr viele Waren verteuern sich immer weiter. Das hat mit den gestiegenen Energie- und Rohstoff Preisen weltweit zu tun. - inflation.","{('Angebot (Rest)', (), 'Inflation')}",
20,48,"Nachfrahe, Produktionskosten - Darüber habe ich mir noch nie Gedanken gemacht. Je größer die Nachfrage desto mehr muss produziert werden. Rohstoffe werden immer teurer, das merkt auch der Verbraucher. - inflation.","{('Nachfrage (Rest)', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}",
21,48,"Nachfrahe, Produktionskosten - Darüber habe ich mir noch nie Gedanken gemacht. Je größer die Nachfrage desto mehr muss produziert werden. Rohstoffe werden immer teurer, das merkt auch der Verbraucher. - inflation.","{('Angebot (Rest)', (), 'Inflation')}",
20,49,"1: Steigende Energiepreise (bedingt durch die geopolitische Lage und den Ukraine-Konflikt), 2: Lieferkettenprobleme (Pandemie und Krisen haben zu Engpässen geführt) - Diese Faktoren verstärken sich gegenseitig und treiben die Inflation weiter an. - inflation.","{('Lieferkettenprobleme', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')}",
