inner_id,text,annotator_20,annotator_21
12,"Lieferkettenprobleme , Erhöhung der Preise, Krieg, Pandemie im Jahr 2020, Energiepreise werden teuerer  - Hohe Energiepreise und Lieferkettenprobleme verstärkten die Angebotsengpässe, während eine erhöhte Nachfrage, ausgelöst durch die Folgen der Pandemie und monetäre Maßnahmen, die Preise weiter nach oben trieb. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
13,"Krieg, Energiepreise sind stark gestiegen  - Durch den Krieg Rußland gegen die Ukraine und die Sanktionen gegen Russland sind die Energiepreise stark gestiegen  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
14,"Krieg , Benzin , Buttet, Milch - Der Krieg macht das die Benzin Preise steigen und wir keine Produkte aus dem Ausland bekommen.die Bauern haben Probleme mit dem Vieh und das lässt die kosten steigen - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
15,"Höhere Energiepreise , Auswirkungen der Coronazeit aufgrund stockender Warenketten, Spritpreise, Veränderte Warenwegen aufgrund von Kriegen und Piratenüberfällen - Mangel an Material (aufgrund der Coronafolgen) lässt ebenfalls bei gleichbleibender Nachfrage ein geringeres Angebotseite vermuten, welches zum Anstieg der Preise führt. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
16,"Krieg, Geringere Verfügbarkeit von Rohstoffen - Die Faktoren hängen sehr stark miteinander zusammen. Durch den Krieg kam es zu Lieferengpässen und Materialknappheit.  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
17,"die umwelt, die kriege, das leben - die neben kosten und die mieten steigrn - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
18,"Corona, der Ukraine Krieg - Kostensteigerungen aufgrund Mangel an Strom - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
19,"Krieg in der Ukraine, Corona, Großkonzerne - Am Ende zahlen die normalen Bürger. Ich denke die Regierung hätte viel besser gegen die hohe Inflation vorgehen. Unsere Energie hätte nicht nur von Russland importiert werden sollen. Außerdem haben viele Konzerne Gewinne mitgenommen. Am Ende zahlen die normalen Bürger. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
20,"Krieg, Regierung, Erhöhung der geldmenge, Zunehmende verbraucherpreise, Weniger rohstoffe - Weiß nicht genau - inflation.",Gründe der Inflation,Gründe der Inflation
21,Amazon - 4 - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
22,"steigende Preise, Nachfrageflaute - sinkende Wirtschaftlichkeit und steigende Rohstoffpreise erhöhen die Inflation - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
23,"Gaspreise , Krieg - Der Krieg führt dazu, dass die Gaspreise gestiegen sind. Alles das führt zu steigenden Preisen, was die Inflation steigen lässt. - inflation.",MISSING,kausales Inflationsnarrativ
24,Energiekosten - kA - inflation.,Gründe der Inflation,Gründe der Inflation
25,"Auslandsproduktion, / - Produkte werden mehr im Ausland produziert  - inflation.",Gründe der Inflation,Gründe der Inflation
26,"Mehr Krisenherde in der Welt, Mehr Autokratien - Die Spannungen zwischen den politischen Kulturen nimmt zu und somit gibt es mehr Konflikte - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
27,"Vieles arbeitslose, Corona Pandemie  - Gutes - inflation.",Gründe der Inflation,Gründe der Inflation
28,"Ukrainekrieg, Energiekriese - Rußland - inflation.",Gründe der Inflation,Gründe der Inflation
29,"Energiepreise, Nahrungsmittelpreise, Lieferkettenprobleme (Covid), Fiskal- und Geldpolitik, Inflationserwartungen - Die Preise weiter nach oben. Diese Faktoren bildeten ein komplexes Netzwerk von Ursachen und Wirkung. Die Energiepreise stiegen aufgrund geopolitischer Spannungen und hatten direkte Auswirkungen auf die Produktionskosten vieler Güter und Dienstleistungen. Beide Faktoren zusammen erhöhten die Produktions- und Transportkosten, was zu steigenden Endverbraucherpreisen führte. Nahrungsmittelpreise und Energiepreise Die erhöhten Energiepreise wirkten sich auch direkt auf die Landwirtschaft aus, da die Kosten für Düngemittel, Bewässerung und Transport stiegen. Dies führte zu höheren Nahrungsmittelpreisen. Extreme Wetterbedingungen, die teilweise durch den Klimawandel verursacht wurden, verstärkten diesen Effekt, da sie zu Ernteausfällen und damit zu einer geringeren Verfügbarkeit führten. Fiskal- und Geldpolitik und Inflationserwartungen - Die expansive Fiskal- und Geldpolitik aufgrund der oben genannten Faktoren, was die Preise weiter in die Höhe trieb. Hohe Inflationserwartungen verstärkten diesen Effekt, da Unternehmen und Verbraucher ihre - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
30,"Ukraine Krieg, Gas Stop aus Russland , EU Vorschriften , Co2 Straf Steuern - Das weiß ich nicht habe ich mich nicht mit beschäftigt  - inflation.",Gründe der Inflation,Gründe der Inflation
31,"Wirtschaftlichelage , Höhere Lebensmittelkonzern , Lieferschwierigkeiten  - Sie sind von einander abhängig oder abgewiesen  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
32,"Ukraine Krieg , Asyl - Sehr stark  - inflation.",Gründe der Inflation,Gründe der Inflation
33,"Krie ukraine , Energiekosten - Durch den Krieg, boykottieren wir russland - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
34,Wirtschaft  - Weniger Aufträge weniger Umsatz weniger Gewinn weniger Arbeit  - inflation.,kausales Inflationsnarrativ,kausales Inflationsnarrativ
35,"Energie kosten , Herstellung  - Die Herstellung ist durch die Verteuerung der Rohstoffe deutlich teurer geworden.  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
36,Meer  - Sicherheit  - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
37,"Flüchtlinge , Corona, Arbeitsmarkt  - Die von mir vermuteten Gründe für die Hohe Inflationsrate hangt zeitlich zusammen, nicht unbedingt causal. - inflation.",Gründe der Inflation,Gründe der Inflation
38,"Russischer Angriffskrieg , Steigende Energiekosten, Wenig gestiegene Lohnquote - Der gesamte Gasvorrat aus Russland stammte. Die Lohnkurve geht schon seit längerem von der Inflationsrate auseinander, sodass es schwerer wird, sich zu versorgen. Der russische Angriffskrieg sorgte für Unsicherheiten in Europa und durch das Gas aus Russland und den Sanktionen der Natoländer kam es explizit in Deutschland zu stark steigenden Kosten, da der gesamte Gasvorrat aus Russland stammte. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
39,Corona - Die Kosten sind gestiegen  - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
40,"There is no, There is no - There is no - inflation.",Keine sinnvolle Antwort,Keine sinnvolle Antwort
41,Hoher preis - Ka - inflation.,Gründe der Inflation,Gründe der Inflation
42,"Krieg in der Ukraine , Russland, Schlechte Wirtschaftliche Entwicklung  - Durch den Krieg in der Ukraine und der Bestrafung an Russland hat sich die Wirtschaft in Deutschland verschlechtert  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
43,"Lebensmittel , Energiekosten, Es ist alles teurer geworden  - Es wurde zuviel Geld ausgegeben und irgendwie muss es ja wieder zurückgeholt werden ..also wird alles teurer gemacht das ist meine meinung 
 - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
44,"Ukraine krieg, Energie kosten Steigerung , Höhere kosten der Produkte , Höhere kosten der Dienstleistung , Verteuerung der Rohstoffe  - Durch den anhaltenden Krieg in der Ukraine werden einige Rohstoffe teuer zu beschaffen sein. Das Gas aus Russland wird über Umwege nach Deutschland beschafft und dadurch steigen die Kosten. Die USA liefern sehr teures Gas über den Seeweg. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
45,Einwanderer  - Weiß nicht  - inflation.,Gründe der Inflation,Gründe der Inflation
46,"ukraine krieg, corona - weiß nicht - inflation.",Gründe der Inflation,Gründe der Inflation
47,"Ukraine Krieg, Wirtschaftskrise  - Der Krieg in der Ukraine belastet die gesamte Weltwirtschaft. Sehr viele Waren verteuern sich immer weiter. Das hat mit den gestiegenen Energie- und Rohstoff Preisen weltweit zu tun. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
48,"Nachfrahe, Produktionskosten - Darüber habe ich mir noch nie Gedanken gemacht. Je größer die Nachfrage desto mehr muss produziert werden. Rohstoffe werden immer teurer, das merkt auch der Verbraucher. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
49,"1: Steigende Energiepreise (bedingt durch die geopolitische Lage und den Ukraine-Konflikt), 2: Lieferkettenprobleme (Pandemie und Krisen haben zu Engpässen geführt) - Diese Faktoren verstärken sich gegenseitig und treiben die Inflation weiter an. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
50,Weiß nicht  - Weiß nicht  - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
51,"Covid-19 , Höhere Strompreise, Höhere Preise für Rohstoffe , Klimawandel , Höhere Kosten im Gesundheitssystem  - Da Löhne steigen, Rohstoffe teurer werden, wird das an den Verbraucher weitergegeben  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
52,"Corona, Materialpreissteigerungen - Einkaufsstopin der Corona Zeit  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
53,"krieg, krisen - Daher habe ich mir darüber keine Gedanken gemacht und versuche einfach damit zu leben!!!!!!!!!, ??????, ??????, ??????, ????????????1!! - inflation.",Gründe der Inflation,Gründe der Inflation
54," - Hohe Energiekosten, steigende Mieten, Krieg - inflation.",Gründe der Inflation,Gründe der Inflation
55,Ja ok - Ok das sicherlich gut - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
56,Keine Ahnung  - Keine Ahnung  - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
57,"Hohe energiekosten, Höhere Gehälter , Höhere benzinkosten , Höhere Preise für Nahrungsmittel  - Starkes anwachsen  - inflation.",Gründe der Inflation,Gründe der Inflation
58,"Schlechte Wirtschaftslage , Ukrainekrieg, Klimawandel  - Menschen sind verunsichert, kaufen weniger, Wirtschaft geht es schlecht, Preise steigen  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
59,"Grüne Misswirtschaft (künstliche Verknappung/Verteuerung), Gier seitens Anbietern - Durch die Regierung wurde ein Klima geschaffen, dass erhebliche Preisanstiege begünstigt-künstlich herbei führt. Es ist nur natürlich, dass die diversen Anbieter auf den Zug aufspringen und zusätzlich zur ohnehin anfallenden Kostensteigerung auch noch etwas drauf legen. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
60,"Ukraine Krieg, Lebensmittel - Weiß nicht - inflation.",Gründe der Inflation,Gründe der Inflation
61,Ich weiß es nicht - Ich weiß es nicht  - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
62,"Krieg in der Ukraine, Folgen des Umbaus der Wirtschaft, CO2 Steuer - in den Börsen wird mehr spekuliert, das hebt die Preise
durch die CO2 Steuer wird alles teurer
der Umbau des Energiesektors treibt die Preise nach oben - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
63,"Ukraine-Krieg , Politische Fehlentscheidungen  - Sehr, da für die Zeit die beschlossenen Gesetze nicht unbedingt umgesetzt werden hätten müssen  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
64,"Wirtschaft , Alles ist teurer geworden  - Alles passt zusammen, alle Kosten sind gestiegen  - inflation.",Gründe der Inflation,Gründe der Inflation
65,"wirtschaftsflaute, ukraine krieg - schlechte politik - inflation.",Gründe der Inflation,Gründe der Inflation
66,"Höhere Energiekosten, Höhere Löhne, Ressourcenknappheit - Höhe Gehälter führen zu steigenden Preisen. Höhere Energiekosten zu höheren Lohnforderungen. 
Geringere Ressourcen führen zu steigenden Preisen  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
67,Politik - Überall helfen wollen und fürs eigene Land nichts haben - inflation.,kausales Inflationsnarrativ,kausales Inflationsnarrativ
68,"Lebensmittel , Sachen sind teuer , Wohnung mieten sehr teuer  - Lohn soll hohe werden 
Niedrig Steuern soll gemacht werden  - inflation.",Gründe der Inflation,Gründe der Inflation
69,"Krieg in der Ukraine, Lebensmittelknappheit, Naturkatastrophen - alles wird knapper, bzw. kann nicht geliefert werden - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
70,"Krieg der Ukraine mit Russland, Flechten wirtschaftliche Entwicklung in Deutschland - Nur in der Weise, dass viele Güter aus der Ukraine nicht mehr bezogen werden konnten - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
71,"Keine Ahnung , Weiß nicht  - Weiß nicht  - inflation.",Keine sinnvolle Antwort,Keine sinnvolle Antwort
72,"Geringe verfügbarkeit an produkten - Hohe nachfrage und geringe verfügbarkeit, also werden die produkte immer teurer - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
73,"energiepreise, sozialausgaben - Firmen haben höhere energiepreise Herstellung teuerer - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
74,"Politik , Korruption  - Schlechten Politiker  - inflation.",Gründe der Inflation,Gründe der Inflation
75,"ukraine krieg, schwache wirtschaftsleistung : automobilbranche - Im großen un ganzen ist es eine überschneidung einigewr themen. 
Zum einen der  Ukrainekrieg, als auch die weltwirtschaft es teilweise schleppend geht. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
76,"Energie, Nahrungsmittel - Ukraine-Krieg - inflation.",Gründe der Inflation,Gründe der Inflation
77,"Staatsverschuldung , Gestiegene Unternehmerkosten , Höhere Löhne  - Höhere Löhne müssen sein, da Lebenshaltung teurer wurde, dadurch wurden Unternehmen teurer, das wieder führt zu höheren Inflation. Ein Teufelskreis  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
78,Hohe Preise  - Weil es bei der Inflation hilft  - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
79,"Ikea, Pukau, Featur - Feature - inflation.",Keine sinnvolle Antwort,Keine sinnvolle Antwort
80,"Weniger Produkte zur Verfügung , Steigende Lohnkosten , Kriegskosten  - Etliche Faktoren spielen eine Rolle, gestiegene Energiekosten. Kriege auf dieser Welt. Rohstoff Mangel, Arbeitskräfte Mangel und natürlich der Mitnahme Effekt. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
81,COVID  - Es gab mehr Nachfrage als Angebot. Unternehmen nutzen das aus.  - inflation.,kausales Inflationsnarrativ,kausales Inflationsnarrativ
82,"Kriege, Tariferhöhungen, Rohstoffkosten - Kriege führen zu höheren Rohstoffkosten. Dadurch werden auch höhere Tarifabschlüsse erzielt, die Ihrerseits wieder die Inflation befeuern. Weitere Punkte, die die Inflation antreibt, sind Zölle - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
83,"Ukraine Krieg, Gaspreise, höhere Lohnkosten - Kosten für rohstoffe steigen, arbeitnehmer wollen mehr Lohn und gehalt, diese kosten müssen auf die waren umgesetzt werden - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
84,"Die Ergebnisse von Unternehmen haben in dieser Zeit stagniert der sind sogar rückläufig gewesen., Die Kriege die welt weit herrschen haben auch nicht zum Wirtschaftswachstum beigetragen., Eher im Gegenteil die Finanzierung z.B. der Ukraine und die stark angestiegenen eigenen Militärausgaben haben den Bundeshaushalt extrem belastet. , Auch die unbedingt notwendigen Umstellungen und Investitionen in Klima- und Umweltschutz verschlingen Unmengen an Finanzmitteln, die dann im Staatssäckel empfindlich fehlen - Ganz im Gegenteil sie sind alle extrem kontraproduktiv und können unser Land nahezu an den Abgrund bringen. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
85,Super - Mehr - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
86,"Hohe Produktionskosten , Steigende Preise  - Weiß ich nicht  - inflation.",Gründe der Inflation,Gründe der Inflation
87,Keine Ahnung  - Ich weiß es nicht.  - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
88,"Strompreise , Ukrainische Krieg , Chinesische Krise  - Die Strompreise erhöht die Gebühren von Fabriken und deshalb ist es teuer geworden. Krieg in Ukraine hat die Nachteile dass Deutschland nicht günstiger Öl aus Russia kaufen will  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
89,"Weltwirtschaft, Internationale Konflike - Weltweite Krisen und Konflikte - inflation.",Gründe der Inflation,Gründe der Inflation
90,"Mehrwertsteuer , Gehälter  - Ich weiß das nicht mach mir aber Gedanken darüber  - inflation.",Gründe der Inflation,Gründe der Inflation
91,"Usa wahlen, China sanktionen - Weis ich nicht - inflation.",Gründe der Inflation,Gründe der Inflation
92,"he energiekosten, Steigende Löhne, Steigende transportkosten - Hohe Herstellungskosten, die an die Verbraucher weiter gegeben werden  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
93,"Klima, Krieg - Erklärt sich von selber - inflation.",Gründe der Inflation,Gründe der Inflation
94,"Energie , Fehlende Rohstoffe , Klimawandel , Ukrainekrieg , Profitgier  - Auch die Politik treibt die Inflation in die Höhe, indem sie Unternehmen mit ihrer ausufernden Bürokratie in den Ruin treibt und diese versuchen, sich mit erhöhten Preisen, doch noch zu retten . - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
95,"Die falsche Politik , Arbeitskraft wird teurer und weniger , Geldwert verlusst - 90% durch die Politik  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
96,"Wirtschaft , Krieg  - Ich weis es nicht - inflation.",Gründe der Inflation,Gründe der Inflation
97,"Corona , Krieg in der Ukraine , Trump  - Miteinander haben die nix zu tun. - inflation.",Gründe der Inflation,Gründe der Inflation
98,"Ukraine krieh, Krieg Russland , Sanktionen  - Durch den Krieg werden viele waren nicht geliefert. - inflation.",kausales Inflationsnarrativ,MISSING
99,Politik - Wir haben zu wenig Geld durch krieg Hilfen  - inflation.,kausales Inflationsnarrativ,kausales Inflationsnarrativ
100,"Lebensmittelpreise , Höhere Mieten , Benzin   Gas Preise - Alles hängt irgendwie zusammen. Wenn die Rohstoffe teurer werden wird der Rest auch teurer. Das hängt auch mit den Ukraine Krieg zusammen  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
101,"Wirtschaftskrise, Energie teuer - Durch den ukrainekrieg ist die Energie teurer geworden. Ausserdem liegt die Wirtschaft in Deutschland am Boden. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
102,Ukraine Krieg  - Rohstoffe werden durch kriegsbedingtr Versorgungsengpässe teurer - inflation.,MISSING,kausales Inflationsnarrativ
103,"Ich habe gerade noch eine Mail an den Herrn geschrieben und ihm geschrieben. Er hat sich noch nicht gemeldet und. Er wird morgen mit Herrn. Ja das stimmt aber das wird noch , Hallo Herr Müller vielen Dank für Ihre Rückmeldung und Ihr Verständnis und ich hoffe das. Mit freundlichen Gruß Thomas Müller und Familie von der , Hallo Herr Doktor ich habe Ihnen gerade eine Mail geschickt mit der Bitte dass wir das. Das war ja ein Missverständnis , Ja aber das war doch auch schon so ein kleines Geschenk., Ich bin jetzt auf dem Heimweg und in circa einer halben Dreiviertelstunde zu. Dann kann ich dir das Geld geben und du kannst es dir abholen wenn du möchtest, oder ich bringe dir das. Dann musst du’s nicht mehr abholen oder du  - Hallo, ich liebe euch und ja . Ich bin jetzt zu Hause, ich hab dich nicht gehört und du bist auch noch wach und dann gehe schlafen und dann kannst du mich anrufen, wenn du willst ich. Ich bin jetzt auch zu Hause und ich bin jetzt gerade auf Toilette gegangen ich muss mich.8 mal hinlegen, weil mein Telefon hat sich nicht so gut angefüllt ich bin. Und dann hab ich noch mal eine halbe Stunde geschlafen und jetzt bin ich wieder wach ich hoffe. Hallo, ich liebe euch und ja ich hoffe. Hallo, ich liebe euch und ja ich liebe mich! - inflation.",Keine sinnvolle Antwort,Keine sinnvolle Antwort
104,Ich weiß es nicht - Kann ich nicht beurteilen - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
105,"Politik, Erderwärmung , Zuwanderer , Arbeitslosigkeit , Teuer aus dem Ausland einkaufen  - Die Politik macht alles falsch. AKW werden in Deutschland ausgeschaltet und beziehen AKW Strom aus dem Ausland. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
106,"Energie preis, Steuer, Einwander7ng, Krieg  - Durch den krieg kam es zur ungezügelten einwanderung ,zu inkontrollierten Ausgaben. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
107,"Banken haben mehr Geld gedruckt als da ist, Wirtschaft wird gegen die Wand gefahren, Korruption - Durch die hohen Ausgaben wurde von den Banken mehr Geld ausgehändigt als vorhanden war (Ukrainekrieg, etc.) diese Ausgaben hängen damit zusammen, dass korrupte Politiker Geld ausgeben, was sie nicht haben. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
108,krieg russland ukraine - deutschland zahlt - inflation.,kausales Inflationsnarrativ,kausales Inflationsnarrativ
109,"Ukraine Krieg, Heizkosten - Ukraine  - inflation.",Gründe der Inflation,Gründe der Inflation
110,"Fehlentscheidungen der Politik, abwandernde Industrie - Das Eine zieht das Andere mit sich - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
111,Weiß nicht  - Weiß nicht  - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
112,Ich weiß nicht  - Das kann ich leider nicht erklären - inflation.,Keine sinnvolle Antwort,Keine sinnvolle Antwort
113,"Ukrainekrieg, Hohe Energiepreise, Migration, Pandemi - Alles hängt miteinander zusammen ab.Durch die hohen Ernergiepreise hat sich die Produktion verteuert.Das wurde an den Endverbraucher weitergegeben. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
114,"gestiegene Energiepreise, gestiegene Preise für Lebensmittel - steigende Energiepreise verteuern die Produktion und den Transport u.a. von Lebensmitteln und anderen Gütern; deren Preise steigen dann auch - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
115,"4, 3 - Alles wird teurer mehr Bedarf. Mehr Menschen  - inflation.",Gründe der Inflation,Gründe der Inflation
116,"The Ukraine Russia war, The covid 19 - Both countries produces goods needed by Germany - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
117,"Energiewende, Krieg  - Durch den Krieg Russlands mit der Ukraine stiegen die Energiepreise. Dadurch verteuerte sich auch das Leben in Deutschland. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
118,Unbedingter Wachstum der Wirtschaft  - Auch an so dummen Konflikten mit China und dergleichen. Krieg vielleicht auch. . - inflation.,kausales Inflationsnarrativ,kausales Inflationsnarrativ
119,"Wirtschaft rückgängig , Krieg  - Die Wirtschaft leidet darunter, weil weniger konsumiert wird, und die Kosten für die Warenproduktion steigen... - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
120,"corona, ukrainekrieg - Und die Bundesregierung trägt auch dazu bei durch die unnötig hohen Energiepreise für Verbraucher und Wirtschaft. Der Ukrainekrieg wird von den Firmen schamlos ausgenutzt, die Preise in die Höhe zu treiben, weil es angeblich teurer ist, auf dem Weltmarkt Rohware zu beziehen. Und die Bundesregierung trägt auch dazu bei durch die unnötig hohen Energiepreise für Verbraucher und Wirtschaft. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
121,Politik  - Kann ich nicht sagen  - inflation.,Gründe der Inflation,Gründe der Inflation
122,"Energiekrise , Hohe Nachfrage , Störungen in den Lieferketten , Lohn preis Spirale , Zentralbankpolitik - Die genannten Faktoren hängen eng miteinander zusammen und verstärken sich gegenseitig. Die Energiekrise, ausgelöst durch den Ukrainekrieg, trieb die Produktionskosten in vielen Bereichen in die Höhe, was die Inflation anheizte. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
123,"Energiekosten , Nachhaltigkeit , Produktionskosten  - In der Produktion steigen die Kosten durch den Strom und die Materialien, die dadurch teurer eingekauft werden müssen . - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
124,"energie preise, schlechter Konsum - sehr schwache Wirtschaft - inflation.",Gründe der Inflation,Gründe der Inflation
125,"Hohe Energiepreise, Ukrainekrieg, COVID , Sperrung Suezkanal, Engpass in Liegerketten - Ich denke einige Punkte sind indirekte Folgen von Covid - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
126,Steigende Preis  - Hängen viel zusammen  - inflation.,Gründe der Inflation,Gründe der Inflation
127,"Energiepreise, Regierung - falsche Politik - inflation.",Gründe der Inflation,Gründe der Inflation
128,"Corona , Schlechte Wirtschaft , Auflagen für die Wirtschaft  - Produktionskosten steigen, höhere Kosten für Unternehmer die vorgeschriebenen Auflagen umzusetzen. Kosten für die Bürger steigen in allen Lebensbereichen weiter. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
129,"Falsches Regierungsverhalten, Ukraine Krieg, Schlechtes Umdenken der Regierung - Durch schwaches Durchsetzungsvermögen und zu starkes Wahlversprechen nach nicht gehalten werden konnte, sowie der Ukraine Krieg und die Umstellung auf das Bürgergeld - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
130,"corona, schlechte ernte - es gibt mehrere ursachen dafür die unabhängig sind. Die Corona krise, die schlechten Ernten, der Krieg in der ukraine alles unabhängige ereignisse und doch wird es teurer - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
